from,to ,weight
avatar,jcd,20
avatar,jcp,20
avatar,jcs,20
avatar,swa,20
avatar,zsa,20
avatar,swa1,20
avatar,jhc,20
avatar,20pc,20
avatar,lepc,20
avatar,depc,20
avatar,impc,20
avatar,wddc,20
avengers4,jrd,19
avengers4,slp,19
avengers4,cms,19
avengers4,rda,19
avengers4,sja,19
avengers4,jra,19
avengers4,asc,19
avengers4,wdpc,19
avengers4,mspc,19
avengers4,wddc,19
starwars,jad,18
starwars,jap,18
starwars,gls,18
starwars,dra,18
starwars,jba,18
starwars,ada,18
starwars,jwc,18
starwars,wdpc,18
starwars,lfpc,18
starwars,brpc,18
starwars,wddc,18
avengers3,jrd,17
avengers3,kfp,17
avengers3,jks,17
avengers3,rda,17
avengers3,sja,17
avengers3,jra,17
avengers3,asc,17
avengers3,mspc,17
avengers3,wdpc,17
avengers3,wddc,17
jurassic,ctd,16
jurassic,fmp,16
jurassic,cts,16
jurassic,cpa,16
jurassic,bha,16
jurassic,voa,16
jurassic,mgc,16
jurassic,aepc,16
jurassic,lppc,16
jurassic,kmpc,16
jurassic,updc,16
lion,jfd,15
lion,jfp,15
lion,jns,15
lion,dga,15
lion,sra,15
lion,cea1,15
lion,hzc,15
lion,wdpc,15
lion,fepc,15
lion,wddc,15
avengers,jwd,14
avengers,jwp,14
avengers,zps,14
avengers,rda,14
avengers,jra,14
avengers,sja,14
avengers,asc,14
avengers,mspc,14
avengers,wddc,14
furious,jwd2,13
furious,vdp,13
furious,cms2,13
furious,vda,13
furious,pwa,13
furious,dja,13
furious,btc,13
furious,orpc,13
furious,ofpc,13
furious,mrpc,13
furious,updc,13
gun,jkd,12
gun,jbp,12
gun,jcs2,12
gun,tca2,12
gun,jca2,12
gun,mta,12
gun,lbc,12
gun,pppc,12
gun,smpc,12
gun,tppc,12
gun,jbpc,12
gun,ppdc,12
frozen2,cbd,11
frozen2,pdp,11
frozen2,jls,11
frozen2,kba,11
frozen2,ima,11
frozen2,jga2,11
frozen2,cbc,11
frozen2,wdpc,11
frozen2,wdpc,11
frozen2,wddc,11
avengers2,jwd,10
avengers2,kfp,10
avengers2,jws,10
avengers2,rda,10
avengers2,cea,10
avengers2,mra2,10
avengers2,dec,10
avengers2,mspc,10
avengers2,wdpc,10
avengers2,wddc,10
panther,rcd,9
panther,kfp,9
panther,rcs,9
panther,cba,9
panther,mja,9
panther,lna,9
panther,lgc,9
panther,mspc,9
panther,wddc,9
potter,dyd,8
potter,dhp1,8
potter,sks,8
potter,dra1,8
potter,rga,8
potter,ewa,8
potter,adc,8
potter,wbpc,8
potter,hfpc,8
potter,wbdc,8
jedi,rjd,7
jedi,kkp,7
jedi,rjs,7
jedi,mha,7
jedi,cfa,7
jedi,ada,7
jedi,jwc,7
jedi,lfpc,7
jedi,wddc,7
kingdom,jbd,6
kingdom,fmp,6
kingdom,dcs,6
kingdom,cpa,6
kingdom,bha,6
kingdom,rsa,6
kingdom,mgc,6
kingdom,aepc,6
kingdom,lepc1,6
kingdom,pwpc,6
kingdom,tmpc,6
kingdom,updc,6
frozen ,cbd,5
frozen ,pdp,5
frozen ,jls,5
frozen ,kba,5
frozen ,ima,5
frozen ,jga1,5
frozen ,cbc,5
frozen ,wdpc,5
frozen ,wddc,5
beauty,bcd,4
beauty,dhp,4
beauty,scs,4
beauty,ewa,4
beauty,dsa,4
beauty,lea1,4
beauty,amc,4
beauty,wdpc,4
beauty,wddc,4
incredibles,bbd,3
incredibles,ngp,3
incredibles,bbs,3
incredibles,cna,3
incredibles,hha,3
incredibles,sva,3
incredibles,mgc,3
incredibles,ppc,3
incredibles,wddc,3
fate,fgd,2
fate,vdp,2
fate,gts,2
fate,vda,2
fate,jsa,2
fate,dja,2
fate,btc,2
fate,uppc,2
fate,updc,2
iron,sbd,1
iron,kfp,1
iron,dps,1
iron,rda,1
iron,gpa,1
iron,dca,1
iron,btc,1
iron,mspc,1
iron,wddc,1
toni_erdmann,mad,20
toni_erdmann,mas,20
toni_erdmann,map,20
toni_erdmann,sha,20
toni_erdmann,psa,20
toni_erdmann,mwa,20
toni_erdmann,pvc,20
toni_erdmann,kfpc1,20
toni_erdmann,copc,20
toni_erdmann,khpc,20
toni_erdmann,mfpc,20
toni_erdmann,nfdc,20
moon,bjd,19
moon,arp,19
moon,bjs,19
moon,aha,19
moon,asa,19
moon,tra,19
moon,nbc,19
moon,a2pc,19
moon,dmpc,19
moon,a2dc,19
verbl,nad,18
verbl,ssp,18
verbl,sls,18
verbl,mna,18
verbl,npa,18
verbl,lea,18
verbl,jgc,18
verbl,nfpc,18
verbl,wbpc,18
verbl,wbdc,18
traffic,ssd,17
traffic,lbp,17
