id,name,type,sex,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,golden_globe,genre,country
20pc,20th Centuries Studios,production_company,3,,,1935,,,,,,,,,,,,,,,,,US
a2pc,A24,production_company,3,,,2012,,,,,,,,,,,,,,,,,US
aba,Asa Butterfield,actor,1,,,1997,,,,,,,,,,,,,,,,,GB
acd,Alfonso Cuarón,director,1,,,1961,,,,,,,,,,,,,,2,2,,MX
acp,Alfonso Cuarón,producer,1,,,1961,,,,,,,,,,,,,,2,2,,MX
acs,Alfonso Cuarón,screenplay,1,,,1961,,,,,,,,,,,,,,2,2,,MX
ada,Adam Driver,actor,1,,,1983,,,,,,,,,,,,,,0,0,,US
adc,Alexandre Desplat,composer,1,,,1961,,,,,,,,,,,,,,2,2,,FR
aea,Aaron Eckhart,actor,1,,,1968,,,,,,,,,,,,,,0,0,,US
aepc,Amblin Entertainment,production_company,3,,,1981,,,,,,,,,,,,,,,,,US
aha,Alex R. Hibbert,actor,1,,,2004,,,,,,,,,,,,,,0,0,,US
aha2,Armie Hammer,actor,1,,,1986,,,,,,,,,,,,,,0,0,,US
ahpc,Ad Hominem Enterprises,production_company,3,,,,,,,,,,,,,,,,,,,,
ald,Ang Lee,director,1,,,1954,,,,,,,,,,,,,,2,2,,TW
ama,Anthony Mackie,actor,1,,,1978,,,,,,,,,,,,,,0,0,,US
amc,Alan Menken,composer,1,,,1949,,,,,,,,,,,,,,8,4,,US
apa,Amy Poehler,actor,2,,,1971,,,,,,,,,,,,,,0,1,,US
apd,Alexander Payne,director,1,,,1961,,,,,,,,,,,,,,2,2,,US
aps,Alexander Payne,screenplay,1,,,1961,,,,,,,,,,,,,,2,2,,US
arp,Adele Romanski,producer,2,,,1982,,,,,,,,,,,,,,1,0,,US
arpc,Arte,production_company,3,,,1991,,,,,,,,,,,,,,,,,DE
asa,Ashton Sanders,actor,1,,,1995,,,,,,,,,,,,,,0,0,,US
asc,Alan Silvestri,composer,1,,,1950,,,,,,,,,,,,,,0,0,,US
ass,Aaron Sorkin,screenplay,1,,,1961,,,,,,,,,,,,,,1,3,,US
avatar,Avatar - Aufbruch nach Pandora,movie,3,1,,2009,jcd,jcp,jcs,swa,zsa,swa1,jhc,20pc,lepc,depc,impc,wddc,"2,905",3,2,science-fiction,US
avengers,Avengers 1: The Avengers,movie,3,7,,2012,jwd,jwp,zps,rda,jra,sja,asc,mspc,,,,wddc,"1,519",0,0,action,US
avengers2,The Avengers : Age of Ultron,movie,3,11,,2015,jwd,kfp,jws,rda,cea,mra2,dec,mspc,wdpc,,,wddc,"1,4",0,0,action,US
avengers3,Avengers: Infinity War,movie,3,4,,2018,jrd,kfp,jks,rda,sja,jra,asa,mspc,wdpc,,,wddc,"2,048",0,0,science-fiction,US
avengers4,Avengers 4: Endgame,movie,3,2,,2019,jrd,slp,cms,rda,sja,jra,asc,wdpc,mspc,,,wddc,"2,798",0,0,action,DE
aga,Andrew Garfield,actor,1,,,1983,,,,,,,,,,,,,,0,1,,US
bba,Beau Bridges,actor,1,,,1941,,,,,,,,,,,,,,,2,,US
bbd,Brad Bird,director,1,,,1957,,,,,,,,,,,,,,2,0,,US
bbs,Brad Bird,screenplay,1,,,1957,,,,,,,,,,,,,,0,0,,US
bcd,Bill Condon,director,1,,,1955,,,,,,,,,,,,,,1,0,,US
beauty,Beauty and the beast,movie,3,17,,2017,bcd,dhp,scs,ewa,dsa,lea1,amc,wdpc,,,,wddc,"1,274",2,3,adventure,US
bfpc,Bedford Falls Productions,production_company,3,,,1985,,,,,,,,,,,,,,,,,US
bga,Brad Garrett,actor,1,,,1960,,,,,,,,,,,,,,0,0,,US
bha,Bryce Dallas Howard,actor,2,,,1981,,,,,,,,,,,,,,0,0,,US
bha1,Bill Hader,actor,1,,,1978,,,,,,,,,,,,,,0,0,,US
bjd,Barry Jenkins,director,1,,,1979,,,,,,,,,,,,,,1,0,,US
bjs,Barry Jenkins,screenplay,1,,,1979,,,,,,,,,,,,,,1,0,,US
bka,Ben Kingsley,actor,1,,,1943,,,,,,,,,,,,,,1,2,,GB
blp,Bradford Lewis,producer,1,,,1958,,,,,,,,,,,,,,0,0,,US
bpa,Brad Pitt,actor,1,,,1963,,,,,,,,,,,,,,2,2,,US
brokeback,Brokeback Mountain,movie,3,,16,2005,ald,dop,lms,hla,jga,lca,gsc,rrpc,,,,ffdc,"0,178",3,4,drama,US
brpc,Bad Robot,production_company,3,,,1999,,,,,,,,,,,,,,,,,US
brpc1,Bayerischer Rundfunk,production_company,3,,,1949,,,,,,,,,,,,,,,,,DE
bta,Benicio Del Toro,actor,1,,,1967,,,,,,,,,,,,,,1,1,,US
btc,Brian Tyler,composer,1,,,1972,,,,,,,,,,,,,,0,0,,US
bvdc,Buena Vista Pictures,distribution_company,3,,,1954,,,,,,,,,,,,,,,,,US
cac,Craig Armstrong,composer,1,,,1959,,,,,,,,,,,,,,,1,,GB
cba,Chadwick Boseman,actor,1,,,1976,,,,,,,,,,,,,,,1,,US
cba1,Christian Bale,actor,1,,,1974,,,,,,,,,,,,,,1,2,,GB
cbc,Christophe Beck,composer,1,,,1972,,,,,,,,,,,,,,0,0,,CH
cbc1,Carter Burwell,composer,1,,,1954,,,,,,,,,,,,,,2,0,,US
cbd,Chris Buck,director,1,,,1958,,,,,,,,,,,,,,1,0,,US
cda,Daniel Craig,actor,1,,,1968,,,,,,,,,,,,,,0,0,,GB
cea,Chris Evans,actor,1,,,1981,,,,,,,,,,,,,,0,0,,US
cea1,Chiwetel Ejiofor,actor,1,,,1977,,,,,,,,,,,,,,0,0,,GB
cfa,Carrie Fisher,actor,2,,,1956,,,,,,,,,,,,,,,,,US
cfdc,Concorde Filmverleih GmbH,distribution_company,3,,,1980,,,,,,,,,,,,,,,,,DE
cfpc,Creado Film,production_company,3,,,,,,,,,,,,,,,,,,,,DE
cha,Cierán Hinds,actor,1,,,1953,,,,,,,,,,,,,,0,0,,IE
cmc,Cliff Martinez,composer,1,,,1954,,,,,,,,,,,,,,0,0,,US
cmc1,Clint Mansell,composer,1,,,1963,,,,,,,,,,,,,,,,,GB
cms,Christopher Markus,screenplay,1,,,1970,,,,,,,,,,,,,,0,0,,US
cms2,Chris Morgan,screenplay,1,,,1970,,,,,,,,,,,,,,0,0,,US
cna,Craig T. Nelson,actor,1,,,1944,,,,,,,,,,,,,,0,0,,US
cnd,Christopher Nolan,director,1,,,1970,,,,,,,,,,,,,,0,0,,GB
cnp,Christopher Nolan,producer,1,,,1970,,,,,,,,,,,,,,0,0,,GB
